Requiere actualizar,Fecha de actualización,Codigo interno,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos (Frases P),Exclamación (PICTOGRAMA ),Corrosión (PICTOGRAMA ),Peligro para la salud (PICTOGRAMA ),Calavera (PICTOGRAMA ),Llama (PICTOGRAMA ),Ambiente (PICTOGRAMA ),Llama sobre círculo (PICTOGRAMA ),Bomba explotando (PICTOGRAMA ),Cilindro de gas (PICTOGRAMA )
,2025-10-28 00:00:00,PRD-QB00002,BASE LIMPIADOR QB12,Mezcla,ATENCION,01 800 002 1400,"H315, H319","P280, P303+P361+P353, P305 + P351 + P338, P314, P403 + P233",X,,,,,,,,
,2025-10-28 00:00:00,PRD-QB00006,BASE PARA DIFUSORES AMBIENTALES,Mezcla,ATENCION,01 800 002 1400,"H227, H320","P210, P264, P280, P305+P351+P338, P337+P313, P370+P378, P403+P235, P501",X,,,,,,,,
,2025-10-23 00:00:00,VAR-QB00025,BASE PARA DIFUSORES AMBIENTALES,56539-66-3,ADVERTENCIA,01 800 002 1400,"H227, H320","P210, P264, P280, P305+P351+P338, P337+P313, P370+P378, P403+P235, P501",X,,,,,,,,
,2025-11-25 00:00:00,VAR-QB00026,BASE SARRIGEL QB,"61791-26-2, 112-02-7",PELIGRO,01 800 002 1400,"H302, H314, H318, H411","P264, P270, P273, P280, P301 + P317 + P330, P302 + P361 + P354 + P316, P363, P304 + P340, P305 + P354 + P338, P391, P405, P501",X,X,,,,X,,,
,2025-10-28 00:00:00,PRD-QB00003,BASE SHAMPOO,Mezcla,ATENCION,01 800 002 1400,"H315, H319","P280, P303+P361+P353, P305 + P351 + P338, P314, P403 + P233",X,,,,,,,,
,2025-10-17 00:00:00,IFF-QB00178,BEAUTY LIFE 894,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319","P280, P302 + P352, P305 + P351 + P338",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00074,BELL CINNAMOND 575 FV,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-11-13 00:00:00,IFF-QB00221,BELLE FEM 6040,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P280, P302 + P352, P305 + P351 + P338",X,,X,,,,,,
,2025-10-17 00:00:00,ASH-QB00001,BENECEL,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,Mantener las mezclas de polvo y aire lejos de fuentes de ignición,,,,,,,,,
SOLICITAR HDS ACTUALIZADA TIANJIN,PENDIENTE,VAR-QB00028,BENZOATO DE SODIO S/P,CAS 532-32-1,ATENCION,01 800 002 1400,"H319, H402","P264, P280, P273, P305+P351+P338, P337+P313 , P501",X,,,,,X,,,
,2025-10-16 00:00:00,IFF-QB00222,BERRY BLOSSOM S/P,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00223,BERRY PUNCH 867 FV,Mezcla,ATENCION,01 800 002 1400,"H317, H319","P280, P302 + P352, P305 + P351 + P338, ",X,,,,,,,,
,2025-10-21 00:00:00,KAO-QB00025,BETADET HR2,Mezcla,PELIGRO,+34 93 739 9445,"H318, H412","P280, P273, P305 + P351 + P338, P310, P501",,X,,,,,,,
,2025-10-23 00:00:00,VAR-QB00030,BETAINA QB,61789-40-0/263-058-8,ATENCION,01 800 002 1400,"H315, H318","P264, P280, P303+P361+P353, P314, P403+P233",X,,,,,,,,
,2025-10-23 00:00:00,VAR-QB00031,BETAINA QB TOTE,61789-40-0/263-058-8,ATENCION,01 800 002 1400,"H315, H318","P264, P280, P303+P361+P353, P314, P403+P233",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00179,BLACK FLORAL 842,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",X,,X,,,,,,
,2025-10-21 00:00:00,ASH-QB00057,BLANOSE CMC 9H4F 421930,9004-32-4,ATENCION,1-800-274-5263,No Aplicable,Mantener las mezclas de polvo y aire lejos de fuentes de ignición,,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00128,BLAZING 185,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00197,BLOOM MEDLEY 420,Mezcla,ATENCION,01 800 002 1400,"H317, H361, H373","P260, P280, P302 + P352, P308 + P313, P333 + P313, P501",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00129,BLUE BREEZE 929,Mezcla,ATENCION,01 800 002 1400,"H227,  H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00037,BLUE COTTON 824,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H351, H361","P261, P264, P280, P302 + P352, P308 + P313, P333 + P313",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00198,BLUE MICRO MEMORIES 320 AZUL,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H351, H361, H373","P260, P280, P302 + P352, P305 + P351 +P338, P308 + P313, P333 + P313, P337 + P313",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00226,BLUE MOMENT 759 S/P,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00227,BLUE MOON,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H410, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P391, P501",X,,,,,X,,,
,2025-10-14 00:00:00,IFF-QB00038,BLUE SKY 270,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00075,BOSQUE 904-A,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00228,BOSQUE DE BAMBU,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00229,BOSS 1363 FQ TANGO,Mezcla,PELIGRO,01 800 002 1400,"H227,H303,H315,H317,H318,H361,H411","P201,P202,P210,P261,P264,P272,P273,P280,P302+P352,P305+P351+P338,P312,P333+P313,P362+P364,P370+P378,P391,P403+P235, P405, P501",X,X,X,,X,,,,
SOLICITAR HDS IFF,PENDIENTE,IFF-QB00180,BOSS 3023 ACQUA DI GIO,Mezcla,-,-,-,-,1,1,1,1,,,,,
,2025-10-16 00:00:00,IFF-QB00076,BOSS 3117 NATURAL COCONUT,Mezcla,ATENCION,01 800 002 1400,H317,"P261, ,, P280, P302 + P352, P333 + P313, , P501",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00130,BOSS 3152 MOD,Mezcla,PELIGRO,01 800 002 1400,"H227, H315, H317, H318, H350, H361, H373","P210, P260, P280, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P370 + P378",X,X,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00077,BOSS 3156 TALK,Mezcla,PELIGRO,01 800 002 1400," H317, H319, H350","P261, ,, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00039,BOSS 86,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P280, P302 + P352, P305 + P351 + P338",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00001,BOTANIKA,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H351, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",X,,X,,,,,,
,2025-10-17 00:00:00,IFF-QB00001,BUENA NINA 979,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P280, P302 + P352, P305 + P351 + P338",X,,X,,,,,,
,2025-10-28 00:00:00,BSF-QB00001,BUTONAL NX 4190,No Aplicable,PELIGRO,01 800 002 1400,"H318, H315, H360, H411, H400","P280, P273, P201, P202, P264, P305 + P351 + P338, P310, P302 + P352, P308 + P313, P391, P362 + P364, P405, P501",,X,X,,,X,,,
,2025-12-02 00:00:00,VAR-QB00032,C.M.C.,"9004-32-4, 7647-14-5",No Aplicable,01 800 002 1400,No aplicable,No Aplicable,,,,,,,,,
,2025-12-02 00:00:00,VAR-QB00180,"C.M.C. 10,000","2836-32-0, 7647-14-5, 9004-32-4",No Aplicable,01 800 002 1400,No Aplicable,No aplicable,,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00182,CALVAN 1-150 ,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H317, H361","P210, P261, P280, P301 + P310, P302 + P352, P331, P308 + P313, P331, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00236,CALVAN GEL 8020,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H317, H361","P210, P280, P301 +P310, P302 + P352, P331",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00183,CANAL AZUL 921,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361, H373","P210, P260, P280, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P370 + P378",X,,X,,,,,,
,2025-10-16 00:00:00,IFF-QB00230,CANELLE,Mezcla,PELIGRO,01 800 002 1400,"H227, H303, H316, H317, H319, H350, H411","P201,P202,P210,P261,P264,P272,P273,P280,P302+P352,P305+P351+P338,P312,P333+P313,P362+P364,P370+P378,P391,P403+P235, P405, P501",X,,X,,,X,,,
,2025-10-17 00:00:00,ASH-QB00002,CAPAUXEIN G2 BIOFUNTIONAL,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-23 00:00:00,VAR-QB00176,CARBOMER GBM 940,9003-01-4,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-23 00:00:00,VAR-QB00178,CARBOMER LIQUID QBW,25212-88-8 ,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00008,CARBOPOL 934,9003-01-4,PELIGRO,01 800 002 1400,"H340, H350,","P201, P202, P281, P308 + P313",,,X,,,,,,
,2025-10-21 00:00:00,LUB-QB00009,CARBOPOL 940,Sustancia,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00010,CARBOPOL 956,584-08-7,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00013,CARBOPOL 99620,71-43-2,PELIGRO,01 800 002 1400,"H340, H350,","P201, P202, P281, P308 + P313, P405, P501",,,X,,,,,,
,2025-10-21 00:00:00,LUB-QB00014,CARBOPOL AQUA SF1,Sustancia,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00017,CARBOPOL CLEAR,110-82-7,ATENCION,01 800 002 1400,"H316, H412","P273, P332 + P313, P501",,X,,,,X,,,
,2025-10-21 00:00:00,LUB-QB00020,CARBOPOL EZ4,Mezcla,ATENCION,01 800 002 1400,"H319, H402","P264,P273, P280, P305 + P351 + P338, P337 + P313, P501",X,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00023,CARBOPOL ULTREZ 10,Mezcla,No Aplicable,01 800 002 1400,Puede formar concentraciones de polvo combustible en el aire,,,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00024,CARBOPOL ULTREZ 20,Mezcla,ATENCION,01 800 002 1400,"H319, H402","P264, P273, P280, P305 + P351 + P338, P337 + P313, P501",X,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00025,CARBOPOL ULTREZ 21,Mezcla,ATENCION,01 800 002 1400,"H319, H402","P264, P273, P280, P305 + P351 + P338, P337 + P313, P501",X,,,,,,,,
,2025-10-21 00:00:00,LUB-QB00026,CARBOPOL XTRA 11 S/P,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-17 00:00:00,IFF-QB00232,CARISMAS 2911,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00040,CATERPILLAR 054,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H351, H361"," P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-10-17 00:00:00,IFF-QB00078,CEDARLOVE 443,Mezcla,ATENCION,01 800 002 1400,H317,"P261, P280, P302 + P352, P333 + P313, P501",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00041,CELESTIAL DREAMS 958,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H361, H373","P210, P260, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-11-25 00:00:00,VAR-QB00036,CERABOSS 4048 BASE,Mezcla,No aplicable,01 800 002 1400,No aplicable,No aplicable,,,,,,,,,
,2025-12-04 00:00:00,ASH-QB00004,CERAPHYL 230 S/P, 6938-94-9,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-17 00:00:00,ASH-QB00005,CERAPHYL 70,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-28 00:00:00,ASH-QB00072,CERAPHYL 847,2002427-61-2,ATENCION,1-800-274-5263,H410,"P273, P391, P501",,,,,,X,,,
,2025-10-17 00:00:00,ASH-QB00069,CERAPHYL ODS,96690-38-9,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-17 00:00:00,ASH-QB00007,CERAPHYL SLK S/P, 60209-82-7,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
SOLICITAR HDS IFF,PENDIENTE,IFF-QB00323,CESCO LV40,-,-,-,-,-,1,1,1,1,,,,,
,2025-11-18 00:00:00,VAR-QB00037,CETEARETH-20,68439-49-6,ATENCION,01 800 002 1400,"H320, H401","P273, P264, P305 + P351 + P338, P337 + P313, P501",,X,,,,X,,,
,2025-11-13 00:00:00,KAO-QB00027,CETILICO KALCOL 6098,36653-82-4,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00079,CHA 251,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H351, 361","P210, P261, P280, P302 + P352,  P305 + P351 + P338, P308 + P313, P333 + P313,  P337 + P313, P370 + P378",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00131,CHAMOMILLE 398 MANZANILLA,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308+ P313, P333 + P313, ",X,,X,,,,,,
,2025-10-17 00:00:00,IFF-QB00132,CHAMP DE LA LAVAND 897,Mezcla,PELIGRO,01 800 002 1400,"H227, H315, H317, H318, H351, H361, H371","P210, P260, P280, P302 + P352, P305 + P351 + P338 HP310, P308 + P313, P333 + P313, P337 + P313, P370 + P378",X,X,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00080,CHAN 001-C MOD 1,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H351, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",X,,X,,,,,,
,2025-10-21 00:00:00,LUB-QB00027,CHEMORYL SFB 10-SK,Mezcla,ATENCION,01 800 002 1400,"H315, H319, H402","P264, P273, P280, P302 + P352, P332 + P313, P321, P362 + P364, P305 + P351 + P338, P337 + P313, P501",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00081,CHERRY 697 MOD 1,Mezcla,ATENCION,01 800 002 1400,"H226, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",X,,X,,X,,,,
,2025-10-14 00:00:00,IFF-QB00002,CHERRY BERRY 921,Mezcla,ATENCION,01 800 002 1400,H317,"P261, P280, P302 + P352, P333 + P313, P362 + P3624, P501",X,,,,,,,,
,2025-10-16 00:00:00,IFF-QB00233,CHICLE 001D,Mezcla,PELIGRO,01 800 002 1400,"H226, H304, H315, H317","P210, P261, P280, P301 + P310, P302 + P352, P331, P333 + P313, P370 + P378",X,,X,,X,,,,
SOLICITAR HDS IFF,PENDIENTE,IFF-QB00082,CHIRSTMAS GINGERAPPLE 712 FV,Mezcla,-,-,-,-,1,1,1,1,,,,,
SOLICITAR HDS IFF,PENDIENTE,IFF-QB00084,CHOCOLAT MOD,Mezcla,-,-,-,-,1,1,1,1,,,,,
,2025-10-16 00:00:00,IFF-QB00083,CHRISTMAS VELAQUIM 53 MOD VAINILLA,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364",X,,X,,,,,,
,2025-12-04 00:00:00,ASH-QB00008,CHROMAFEN S/P,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00184,CIC 0441 HB,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",X,,X,,,,,,
,2025-10-23 00:00:00,VAR-QB00038,CICLODIMETICONA 8002 SILIKA,541-02-6,ATENCION,01 800 002 1400,H227,"P210, P280, P370 + P378, P403 + P235, P501",,,,,X,,,,
,2025-10-23 00:00:00,VAR-QB00039,CICLODIMETICONA 8014 SILIKA,Mezcla,ATENCION,01 800 002 1400,H227,"P210, P280, P370+P378, P403, P501",,,,,X,,,,
,2025-10-16 00:00:00,IFF-QB00234,CITRIC FRESH,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H316, H317, H319, H411","P210, P233, P240, P241, P242, P243, P260, P264, P270, ,, P280, P301 + P310, P303 + P364, P370 + P378, P391, P403 + P235, P405, P501",X,,X,,X,X,,,
,2025-10-14 00:00:00,IFF-QB00003,CITRIC TWIST 592,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-10-23 00:00:00,VAR-QB00040,CITRONELLA ACEITE ES. 100,91771-61-8,PELIGRO,01 800 002 1400,"H302, H304, H315, H317, H318, H411","P261,  P280, P301 + P310, P330 + P331, P302 + P352 + P333 + P313, P305 + P351 + P338 + P310",X,X,X,,,X,,,
,2025-10-28 00:00:00,PRD-QB00005,CITRONELLA QBD09,Mezcla,PELIGRO,01 800 002 1400,"H302, H304, H315, H317, H318, H411","P261,  P280, P301 + P310, P330 + P331, P302 + P352 + P333 + P313, P305 + P351 + P338 + P310",X,X,X,,,X,,,
,2025-10-14 00:00:00,IFF-QB00004,CITRUS BLEND 144 MOD,Mezcla,PELIGRO,01 800 002 1400,"H304, H315, H317, H318, H361","P261, P280, P301 + P310, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P331, P333 + P313",X,X,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00005,CITRUS FRESH 140,Mezcla,PELIGRO,01 800 002 1400,"H226, H304, H315, H317, H318, H361","P210, P261, P280, P301 + P310, P302 + P352, P305 + P351 + P338 + P310, P308 + P313, P331, P333 + P313, P370 + P378",X,X,X,,X,,,,
,2025-10-16 00:00:00,IFF-QB00133,CITRUS SPLASH 690,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319","P280, P302+P352, P305+P351+P338",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00085,CLASSIC FLORAL 535,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H361","P261, P264, P280, P302 + P352, P308 + P313, P333 + P313",X,,X,,,,,,
,2025-10-17 00:00:00,IFF-QB00205,CLEAN PLUS 049,Mezcla,ATENCION,01 800 002 1400,H317,"P261, P280, P302 + P352, P333 + P313, P362 + P364, P501",X,,,,,,,,
,2025-10-17 00:00:00,IFF-QB00134,CLEAN SCENT 655,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319","P210, P280, P302 + P352, P305 + P351 + P338",X,,,,,,,,
,2025-10-17 00:00:00,IFF-QB00086,CLEANWOOD 860,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H361","P280, P302 + P352",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00042,CLEAR WHITE 709 MOD 1,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00087,COCO 120-A,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302+P352,  P308 + P313, P333 + P313, ",X,,X,,,,,,
,2025-10-14 00:00:00,IFF-QB00135,COCONUT AND ALOE 813,Mezcla,ATENCION,01 800 002 1400,H317,"P261, P280, P302 + P352, P333 + P313, P362 + P3624, P501",X,,,,,,,,
,2025-10-14 00:00:00,IFF-QB00043,COCONUT DELICE 733,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378,",X,,X,,,,,,
,2025-10-24 00:00:00,VAR-QB00041,COLAGENO COLLATEIN N359,92113-31-0,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-11-07 00:00:00,VAR-QB00042,COLOR AMARILLO .6 P/GEL,633-96-5,ATENCION,01 800 002 1400,H319,"P264, P280, P337+P313, P305+P351+P338",X,,,,,,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00043,COLOR AMARILLO 5 P/GEL,-,-,-,-,-,,,,,,,,,
,2025-11-28 00:00:00,VAR-QB00044,COLOR AMARILLO ACIDO 73 (LIMPIADORES) FOSFORECENTE,518-47-8,ATENCION,01 800 002 1400,H319,"P264, P280, P337+P313, P305+P351+P338",X,,,,,,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00045,COLOR AMARILLO AL ACEITE SOLVENTE S/P,,,,,,,,,,,,,,
,2025-11-07 00:00:00,VAR-QB00047,COLOR AMARILLO BASICO PARA CLORO S/P,10588 – 01 – 9,PELIGRO,01 800 002 1400,"H272, H300, H332, H312, H314, H318, H334, H340, H350, H360, H372","P301+P310 + P330, P301 + P330 + P331, P303+P361+P353, P304+P340 + P310, P305 + P351 + P338, P308 + P313, P333 + P313, P370+P378, P391",X,X,X,,,,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00048,COLOR AMARILLO METANILO 36 (SUAVIZANTE),587-98-4,PELIGRO,01 800 002 1400,"H335, H313, H401","P280, P273, P271, P264, P234, P305 + P351 + P338, P310, P303 + P361 + P353, P304 + P340, P301 + P330 + P331, P391, P390, P403 + P233, P405, P406, P501",,X,,,X,X,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00049,COLOR AZUL ACIDO 324 (SUAVIZANTE),4368-56-3,ATENCION,01 800 002 1400,"H315, H319, H335","P261, P264, P271, P280, P302 + P352, P304 + P340, P305 + P351 + P338, P312, P321, P332 + P313, P337 + P313, P362, P403 + P233, P405, P501",X,,X,,,,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00050,COLOR AZUL AL ACEITE (ACEITE MOPS),14233-37-5,ATENCION,01 800 002 1400,"H290, H314, H335, H313, H401, H411","P280, P273, P271, P260, P264, P234, P305 + P351 + P338, P310, P303 + P361 + P353, P304 + P340, P301 + P330 + P331, P391, P390, P403 + P233, P405, P406, P501",,X,,,,X,,,
,2025-12-02 00:00:00,VAR-QB00051,COLOR AZUL BASICO 200% S/P,3521-06-0,No aplicable,01 800 002 1400,No aplicable,No aplicable,,,,,,,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00052,COLOR AZUL TURQUESA DIRECTO 86 (LIMPIADORES),1330-38-7,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-11-28 00:00:00,VAR-QB00053,COLOR DC GREEN No8 (GEL FOSFORECENTE),6358-69-6,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00054,"COLOR NEGRO ACIDO 194 (SUAVIZANTE, JABON LIQ)",61931-02-0,ATENCION,01 800 002 1400,"H302, H318, H335, H313, H315","P261, P270, P271, P273, P280, P264, P234,  P305 + P351 + P338, P310, P303 + P361 + P353, P304 + P340, P301 + P330 + P331, P331, P391, P390, P403 + P233, P405, P406, P501",X,,,,,X,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00056,"COLOR RODAMINA BASICA  (JABON LIQ,LIMPIADORES)",81-88-9,ATENCION,01 800 002 1400,"H302, H318, H335, H313, H315","P261, P270, P271, P273, P280, P264, P234,  P305 + P351 + P338, P310, P303 + P361 + P353, P304 + P340, P301 + P330 + P331, P331, P391, P390, P403 + P233, P405, P406, P501",X,,,,,X,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00057,COLOR ROJO 114 s/p,2611-82-7,ATENCION,01 800 002 1400,"H302, H318, H335, H313, H315","P261, P270, P271, P273, P280, P264, P234,  P305 + P351 + P338, P310, P303 + P361 + P353, P304 + P340, P301 + P330 + P331, P331, P391, P390, P403 + P233, P405, P406, P501",X,,,,,X,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00058,"COLOR ROJO ACIDO 52 (ROSA) (LIMPIADORES, QUITA SARRO) S/P",3520-42-1,ATENCION,01 800 002 1400,"H302, H318, H335, H313, H315","P261, P270, P271, P273, P280, P264, P234,  P305 + P351 + P338, P310, P303 + P361 + P353, P304 + P340, P301 + P330 + P331, P331, P391, P390, P403 + P233, P405, P406, P501",X,,,,,X,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00059,COLOR ROJO AL ACEITE,85-83-6,ATENCION,01 800 002 1400,"H315, H318, H319, H335","P264, P280, P302 + P352, P305 + P351 + P338, P332 + P313 , P337 + P313, P362",X,,,,,,,,
SOLICITAR HDS A PROVEEDOR,PENDIENTE,VAR-QB00060,COLOR ROJO NO. 5 GEL,-,-,-,-,-,,,,,,,,,
,2025-11-07 00:00:00,VAR-QB00061,COLOR ROJO NO.6 GEL S/P,-,ATENCION,01 800 002 1400,"H303, H320, H335","P102, P260, P264, P273, P280, P301 + P330 + P331 , P303 + P361 + P353, P304 + P340,  P305 + P351 + P338, P390, P391, P403 + P233, P405, P406, P501",X,,,,,,,,
