Codigo interno,CODIGO VARIANTE,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos,Pictogram 1,Pictogram 2,Pictogram 3,Pictogram 4
IFF-QB00059,P0401013,QUIM 1074 FS BLUE,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H361,
H411","P201, P202, P210,
P261, P264, P272,
P273, P280,
P302 + P352,
P305 + P351 + P338,
P312, P333 + P313,
P337 + P313,
P362 + P364,
P370 + P378,
P391, P403 + P235,
P405, P501
",G,I,H,1
IFF-QB00060,P0401014,QUIM 1075 FSE F,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H361,
H410","P201, P202, P261, P264, P272, P273, P280, P302 + P352,
P308 + P313, P333 + P313, 
P362 + P364, P391, P405, P501",G,I,H,1
IFF-QB00062,P0401015,SIMPLY BLUE 607,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H361, H410","P201, P202, P210, P261, P264,
P272, P273, P280, P302 + P352,
P305 + P351 + P338, P308 + P313,
P333 + P313, P337 + P313,
P362 + P364, P370 + P378, P391
P403 + P235, P405, P501",G,I,H,1
IFF-QB00046,P0401016,DURAMAX 640,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H411","P210, P261, P264,
P272, P273, P280, P302 + P352, 
P305 + P351 + P338, P312, P333 + P313, P337 + P313, 
P362 + P364, 
P370 + P378, P391,
P403 + P235, P501 ",G,I,1,1
IFF-QB00052,P0401017,FREEDOM 639,Mezcla,PELIGRO,1 800 002 1400,"H227, H303, H315
H317, H318, H361
H411","P201, P202, P210, P261, P264,
P272, P273, P280, P302 + P352,
P305 + P351 + P338 + P310, P312,
P333 + P313, P362 + P364,
P370 + P378, P391, P403 + P235,
P501",G,E,G,I
IFF-QB00047,P0401018,ELEGANT 957 (ELEGANCY),Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315, H317, H319, H361
H400, H411","P201, P202, P210, P261, P264,
P272, P273, P280, P302 + P352,
P305 + P351 + P338, P312,
P333 + P313, P337 + P313
P362 + P364, P370 + P378, P391
P403 + P235, P405, P501",G,I,H,1
IFF-QB00056,P0401019,MAGIC DELIGHT 759 ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
,P0401020,CLOUD FLOWER 432,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272, P273,
P280, P302 + P352,
P305 + P351 + P338, P333 + P313,
P337 + P313, P362 + P364,
P370 + P378, P391, P403 + P235, 
P501",G,I,1,1
IFF-QB00053,P0401021,GLAM 359 GLAMUR,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315
H317, H319, H361
H410","P201, P202, P210, P261, P264
P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, 
P333 + P313, P337 + P313
P362 + P364, P370 + P378, P391
P403 + P235, P405, P501",H,G,I,1
,P0401022,SOFT DELIGH 607,Mezcla,ATENCION,1 800 002 1400,"P316, P317, P411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
,P0401025,QUIM HIDRA 743 ,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00063,P0401027,SUAVE PRIMAVERA 958,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317
H361, H411","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352,
P308 + P313, P333 + P313,
P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,1
IFF-QB00051,P0402001,FOUGERE FRESH 003-H,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317
H319, H410","P210, P261, P264, P272, P273,
P280, P302 + P352,
P305 + P351 + P338, P333 + P313,
P337 + P313, P362 + P364,
P370 + P378, P391, P403 + P235,
P501",G,I,1,1
IFF-QB00289,P0402007,COUNTRY SOFT 239 NO USAR,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00049,P0403001,FLORAL ROSE 001-B,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319
H351, H410","P201, P202, P261, P264, P272, P273, P280, P302 + P352,
P305 + P351 + P338, P308 + P313,
P333 + P313, P337 + P313,
P362 + P364, P391, P405, P501",G,H,I,1
,P0403003,BEBE AMOR (BABY LOVE 722) ,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00066,P0403013,TUBEROSE 946,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P333 + P313,  P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
,P0404007,VANILLE DOUCE VS5303 ,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00204,P0404008,SPARK PETAL 318 MICROCAPSULAS,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H411","P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00054,P0404010,GREEN SENSE 842,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H351, H361
H411","P201, P202, P210, P261, P264,P272, P273, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",H,G,I,1
IFF-QB00037,P0404011,BLUE COTTON 824,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H411","P261, P264, P272, P273, P280,
P302 + P352, P333 + P313,
P362 + P364, P391, P501",G,I,1,1
IFF-QB00064,P0404012,SUEÑOS DE ALGODON 707,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H351, H410","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P362 + P364, P391, P405, P501",G,I,H,1
IFF-QB00042,P0404013,CLEAR WHITE 709,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00131,P0501004,CHAMOMILLE 398 (MANZANILLA),Mezcla,ATENCION,1 800 002 1400,"H316, H317, H412","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,1,1,1
IFF-QB00125,P0501007,APPLE 872 (MANZANA VERDE),Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",1,1,1,1
IFF-QB00167,P0501008,SER 1100 GRAPEFRUIT,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315
H317, H319, H410","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P331, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,B
,P0501010,SER 1102 ALOE VERA ,Mezcla, - ,1 800 002 1400, - , - ,1,1,1,1
IFF-QB00171,P0501012,SER 1114 TORONJA,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315
H317, H319, H410","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353, P305 + P351 + P338, P331, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,B
IFF-QB00124,P0501015,ALOE VERA GAV 1171 SH,Mezcla,ATENCION,1 800 002 1400,"H303, H315, H317, H319, H361, H411.","P201, P202, P261, P264, P272, P273,
P280, P302 + P352,
P305 + P351 + P338,
P312, P333 + P313,
P337 + P313, P362 + P364, P391, P405, P501
",G,I,H,1
IFF-QB00170,P0501020,SER 1110 PERA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H400, H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00146,P0501025,FRUITY SOFT 624,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315, H317, H410","P210, P233, P240, P241, P242,P243, P261, P264, P272, P273, P280, P301, P333, P362+P364, P370+P378, P391, P403+P235, P405, P501",B,H,G,I
IFF-QB00151,P0501026,KIWI FRESH 625,Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315
H317, H319, H411","P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P331, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,H,I,1
IFF-QB00165,P0501028,SER 1057 UVA MORADA,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H316, H317, H400, H411","P210, P261, P272, P273, P280, P302+P352, P312, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501",G,I,1,1
IFF-QB00158,P0501105,QUIM 1300(PASION FRUIT),Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501
",G,I,1,1
IFF-QB00164,P0501106,SER 1013 (SHAMPOO PANTENE FLORAL FRUTAL),Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315, H317, H319, H400, H411","P210, P261, P264, P272, P273, P280,  P302 + P352,  P305 + P351 + P338, P312,  P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,1,1
IFF-QB00122,P0501107,1181-D (MENTA),Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315, 
H317, H410","P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P331, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501 ",G,I,H,1
IFF-QB00122,P0501107,ABRILLANTADOR OPTICO(LIQUIDO),16470-24-9,ATENCION, -  , - , - ,1,1,1,1
IFF-QB00123,P0502004,ALMOND 339,Mezcla,ATENCION,1 800 002 1400,"H227, H316, H317,
H319, H411","P210, P261, P264, P272, P273,
P280, P302 + P352, 
P305 + P351 + P338, P333 + P313,
P337 + P313, P362 + P364,
P370 + P378, P391, P403 + P235, P501
",G,I,1,1
IFF-QB00130,P0502005,BOSS 3152,Mezcla,PELIGRO,1 800 002 1400,"H227, H303, H315, H317, H318, H411","P210, P261, P264, P272, P273
P280, P302 + P352,
P305 + P351 + P338 + P310, P312
P333 + P313, P362 + P364
P370 + P378, P391, P403 + P235
P501
",E,G,I,1
,P0502008,FLORAL 386 , - , - ,1 800 002 1400, - , - ,1,1,1,1
,P0502023,FLORIENTAL M969 , - , - , -  , - , - ,1,1,1,1
,P0503001,BOSS 3157 (POT) ,Mezcla,PELIGRO,1 800 002 1400,"H226, H304, H315, H317, H411, ","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353, P331, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,H,G,I
,P0503016,CEREZA 2080GEL, - , - , -  , - , - ,1,1,1,1
IFF-QB00142,P0503017,FASHION 180, - , - , -  , - , - ,1,1,1,1
,P0503018,EXTREME 188 , - , - , -  , - , - ,1,1,1,1
IFF-QB00152,P0503025,MANGIFF 188,,ATENCION,01 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302+P352, P333+P313,
P362+ P364, P391, P501",G,I,1,1
,P0504001,BOSS 3148 EP, - , - , -  , - , - ,1,1,1,1
,P0601001,LOLO 996-L (POLO AROMATIZANTE), - , - , -  , - , - ,1,1,1,1
IFF-QB00166,P0601002,SER 1098 ORQUIDEA JAZMIN,,ATENCION,01 800 002 1400,"H227, H303, H315, H317, H319, H361, H411","P201, P202, P210, P261, P264,
P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, 
P333 + P313, P337 + P313, 
P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,1
IFF-QB00168,P0601006,SER 1104 AGUACATE,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H411","P261, P264, P272, P273, P280,
P302 + P352, P333 + P313,
P362 + P364, P391, P501",G,H,1,1
IFF-QB00126,P0601008,AVEIA PLUS PONS CR,,ATENCION,01 800 002 1400,"H316, H317, H411","P261, P272, P273,
P280, P302 + P352,
P333 + P313,
P362 + P364, P391, P501",G,I,1,1
IFF-QB00128,P0601011,BLAZING 185,,ATENCION,01 800 002 1400,"H315, H317, H319
H361, H411","P201, P202, P261, P264, P272,
P273, P280, P302 + P352,
P305 + P351 + P338, P308 + P313,
P333 + P313, P337 + P313,
P362 + P364, P391, P405, P501",H,G,I,1
IFF-QB00160,P0601012,RAINY WASH 530, - , - , -  , - , - ,1,1,1,1
IFF-QB00043,P0601013,COCONUT DELICE 733,Mezcla,ATENCION,01 800 002 1400,"H227, H303, H315, H317, H361, H400, H411"," P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P312, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501.",H,G,I,1
IFF-QB00323,P0602002,CESCO LV40 , - , - , -  , - , - ,1,1,1,1
IFF-QB00208,P0602003,FLOWER CLEAN 384,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H411","P210, P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P370+P378, P391, P403+P235, P501",G,I,1,1
IFF-QB00139,P0602004,DELIRIOUS JABOTICABA 335,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317,
H319, H361, H411","P201, P202, P210, P261, P264, P272,
P273, P280,
P302 + P352,
P305 + P351 + P338, P308 + P313, P333 + P313,
P337 + P313, P362 + P364,
P370 + P378, P391, P403 + P235, P405
P501

",G,I,H,1
IFF-QB00129,P0602005,BLUE BREEZE 929, - , - , -  , - , - ,1,1,1,1
IFF-QB00143,P0602006,FLORAL BOUQUET 981,Mezcla,PELIGRO,01 800 002 1400,"H227, H303, H304,
H315, H317, H319,
H361, H400, H411","P201, P202, P210, P261, P264,
P272, P273, P280, P301 + P310,
P302 + P352, P305 + P351 + P338,
P312, P331, P333 + P313,
P337 + P313, P362 + P364,
P370 + P378, P391, P403 + P235,
P405, P501",G,H,I,1
IFF-QB00198,P0701001,BLUE MICRO MEMORIES 320 (AZUL),Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319,
H411","P261, P264, P272, P273, P280,
P302 + P352, P305 + P351 + P338,
P333 + P313, P337 + P313,
P362 + P364, P391, P501",G,I,1,1
IFF-QB00200,P0701002,HAPPY MICRO SUNSHINE 312 (AZUL),Mezcla,ATENCION,01 800 002 1400,"H315, H317, H411","P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00199,P0701003,ELEGANT MICRO SOFTNESS 957 ( AMARILLO),Mezcla,ATENCION,01 800 002 1400,"H315, H317, H361,
H411","P201, P202, P261, P264, P272, P273, P280, P302 + P352, 
P308 + P313, P333 + P313,
P362 + P364, P391, P405, P501",G,I,H,1
IFF-QB00118,P1001007,TUTTI 001,Mezcla,PELIGRO,01 800 002 1400,"H226, H304, H315, H317, H411","P210, P233, P240, P241, P242, P243, P261, P264, P272,P273,
P280, P301 + P310,
P303 + P361 + P353, P331,
P333 + P313, P362 + P364,
P370 + P378, P391, P403 + P235,
P405, P501",G,I,H,B
,P1001021,HERBAL P 853 , - , - , -  , - , - ,1,1,1,1
IFF-QB00080,P1001024,CHAN 001-C,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317,
H319, H411","P210, P261, P264, P272,P273,
P280, P302 + P352,
P305 + P351 + P338, P333 + P313,
P337 + P313, P362 + P364,
P370 + P378, P391, P403 + P235,
P501",G,I,1,1
,P1001027,MULBERRY 773, - , - , -  , - , - ,G,1,1,1
IFF-QB00236,P1101002,CK ONE GL 8020 M, - , - , -  , - , - ,G,1,1,1
IFF-QB00269,P1101004,SER 1050 ENSUENO, - , - , -  , - , - ,G,1,1,1
IFF-QB00286,P1101005,VCA MOMENTOS 2321, - , - , -  , - , - ,G,1,1,1
IFF-QB00284,P1101006,VCA FIESTA 4325 , - , - , -  , - , - ,G,1,1,1
IFF-QB00260,P1101007,PETALOS DE ROSA, - , - , -  , - , - ,G,1,1,1
IFF-QB00238,P1101008,PALOMA 5052 CR, - , - , -  , - , - ,G,1,1,1
IFF-QB00228,P1101009,BOSQUE DE BAMBU , - , - , -  , - , - ,G,1,1,1
IFF-QB00261,P1101010,QUIM BLUE 629 , - , - , -  , - , - ,G,1,1,1
IFF-QB00282,P1101013,TROPIC FRUIT M 957,Mezcla,PELIGRO,01 800 002 1400,"H226, H304, H315, H317, H319, H410, H411","P210, P233, P240, P241, P242, P243, P261, P264, P272, P273, P280, P301 + P310, P303 + P361 + P353, P305 + P351 + P338, P331, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",H,G,I,B
IFF-QB00256,P1101014,MINT MINT M BRM11,Mezcla,PELIGRO,01 800 002 1400,"H227, P261, P264, P272, P273, P280","P301 + P310, P302 + P352, P331, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,H,I,1
IFF-QB00229,P1101015,BOSS 1363 FQ(TANGO), - , - , -  , - , - ,1,1,1,1
IFF-QB00240,P1101016,EXPELL FRESH M 820,Mezcla,PELIGRO,01 800 002 1400,"H226, H227, H302, H304, H315, H317, H319, H410, ","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P364, P370 + P378, P391, P403 + P235, P405, P501",H,B,G,I
IFF-QB00234,P1101017,CITRIC FRESH ,Mezcla, - , -  , - , - ,G,1,1,1
IFF-QB00262,P1101019,QUIM HIDRA 759 , - , - , -  , - , - ,G,1,1,1
IFF-QB00273,P1101020,SOFT LILY, - , - , -  , - , - ,G,1,1,1
,P1101022,LAVANDA FABULADA M , - , - , -  , - , - ,G,1,1,1
IFF-QB00276,P1101023,SUAVIAZUL M 75 , - , - , -  , - , - ,G,1,1,1
IFF-QB00272,P1101024,SOFT BLUE M 68 , - , - , -  , - , - ,G,1,1,1
IFF-QB00246,P1101025,GREEN APPLE 1082 , - , - , -  , - , - ,G,1,1,1
,P1101026,COUNTRY SOFT D 937 INOVA, - , - , -  , - , - ,G,1,1,1
IFF-QB00257,P1101027,NEW MAXI COLOR D7754, - , - , -  , - , - ,G,1,1,1
IFF-QB00233,P1101028,CHICLE 001D , - , - , -  , - , - ,G,1,1,1
IFF-QB00288,P1101039,WAIKIKI 204 , - , - , -  , - , - ,G,1,1,1
IFF-QB00264,P1101041,REVIVAL 006 A NATTURA ,,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H411","P210, P261, P264,
P272, P273, P280, 
P302 + P352, 
P305 + P351 + P338,
P312, P333 + P313,
P337 + P313, P362 + P364, P370 + P378,
P391, P403 + P235,
P501",G,I,1,1
IFF-QB00223,P1101042,BERRY PUNCH 867 FV , - , - , -  , - , - ,G,1,1,1
IFF-QB00250,P1101043,LAVENDER FRESH, - , - , -  , - , - ,g,1,1,1
IFF-QB00227,P1101044,BLUE MOON, - , - , -  , - , - ,G,1,1,1
IFF-QB00268,P1101045,SEA BREEZE, - , - , -  , - , - ,G,1,1,1
IFF-QB00259,P1101046,FLORALIS 830 , - , - , -  , - , - ,G,1,1,1
IFF-QB00249,P1101047,JUNGLE FRESH , - , - , -  , - , - ,G,1,1,1
IFF-QB00230,P1101048,CANELLE, - , - , -  , - , - ,G,1,1,1
IFF-QB00287,P1101049,VIOLET FLOWER, - , - , - , - , - ,G,1,1,1
,P1101050,BOSS 3148 AMENI , - , - , -  , - , - ,G,1,1,1
IFF-QB00251,P1101051,LAVENDER MISTICA , - , - , -  , - , - ,G,1,1,1
IFF-QB00244,P1101053,FRESH BREEZE  , - , - , -  , - , - ,G,1,1,1
KAO-QB00001,Q0101001,ASFIER 100 ,61791-55-7,PELIGRO,+34 93 739 9445,,,1,1,1,1
KAO-QB00002,Q0101003,ASFIER 121,"61791-55-7,61788-45-2",PELIGRO,+34 93 739 9445, Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Provoca daños en los órganos tras exposiciones prolongadas o repetidas. ," Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo.  Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras, máscara. Llevar prendas de protección: Recomendado: Traje de protección.  No respirar el polvo. No comer, beber ni fumar durante su utilización.  Lavarse las manos concienzudamente tras la manipulación.  EN CASO DE INHALACIÓN:  Transportar a la víctima al exterior y mantenerla en reposo en una posición confortable para respirar.  Llamar inmediatamente a un centro de información toxicológica o a un médico.  EN CASO DE INGESTIÓN:  Llamar inmediatamente a un centro de información toxicológica o a un médico.  Enjuagarse la boca.  NO provocar el vómito.  EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas.  Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar  ediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS:  Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando.  Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales. ",1,1,1,e
,Q0101014,KAOAMIN 14 ,"151661-99-3, 61790-33-8, 68783-24-4",PELIGRO,+34 93 739 9445,"Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal, sistema inmunológico, hígado)","Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas de seguridad con protección lateral máscara. Llevar prendas de protección: Recomendado: Traje de protección. No respirar los vapores. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación.
EN CASO DE INHALACIÓN: Transportar a la víctima al exterior y mantenerla en
reposo en una posición confortable para respirar. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales. No se conoce ninguno.",e,h,g,1
,Q0101020,KAOAMIN 16 ,"72230-78-5, 151661-99-3",PELIGRO,+34 93 739 9445,Provoca graves quemaduras en la piel y lesiones oculares.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho nitrílico. Usar protección para los ojos o la cara: Recomendado: lentes anti-salpicaduras , gafas de seguridad con protección lateral. Usar ropa protectora: Recomendado: Ropa de protección completa.. Lavarse cuidadosamente las manos después de la manipulación. EN CASO DE INHALACIÓN: Transportar la víctima al aire libre y mantenerla en reposo en una posición que le facilite la respiración. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar la ropa contaminada antes de volverla a usar. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Enjuagar con agua cuidadosamente durante varios minutos. Quitar las lentes de contacto, cuando estén presentes y pueda hacerse con facilidad. Proseguir con el lavado. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. ",1,i,h,e
,Q0102003,KAOAMIN KW ,No aplicable,PELIGRO,+34 93 739 9445,Provoca graves quemaduras en la piel y lesiones oculares.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho nitrílico. Usar protección para los ojos o la cara: Recomendado: lentes anti-salpicaduras , gafas de seguridad con protección lateral. Usar ropa protectora: Recomendado: Ropa de protección completa.. Lavarse cuidadosamente las manos después de la manipulación. : EN CASO DE INHALACIÓN: Transportar la víctima al aire libre y mantenerla en reposo en una posición que le facilite la respiración. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE INGESTIÓN: Llamar  nmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lave la pielcontaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (porejemplo, Previn ®). Lavar la ropa contaminada antes de volverla a usar. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Enjuagar con agua cuidadosamente durante varios minutos. Quitar las lentes de contacto, cuando estén presentes y pueda hacerse con facilidad. Proseguir con el lavado. Llamar inmediatamente a un CENTRO DE CONTROL DE  NVENENAMIENTO o a un médico. : Guardar bajo llave. Eliminar el contenido y recipiente conforme a todas las reglamentaciones locales, regionales, nacionales e internacionales.",e,1,1,1
,Q0102004,DANOX AP ,No Aplicable,PELIGRO,+34 93 739 9445,"Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Puede ser mortal en caso de ingestión y penetración en las vías respiratorias. Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal, sistema inmunológico, hígado)","Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: Gafas anti-salpicaduras. , máscara. Llevar prendas de protección: Recomendado: Bata de laboratorio.,Traje de protección. No  espirar el polvo. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación.  Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar  nmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga  iphoterin (por ejemplo, Previn ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",e,g,h,1
KAO-QB00004,Q0103002,ASFIER 211 (GRANEL PIPA) ,-,-,-,-,-,1,1,1,1
