Codigo interno,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos (Frases P),Source_File,Exclamación,Corrosión,Peligro para la salud,Calavera,Llama,Ambiente,Llama sobre círculo,Bomba explotando,Cilindro de gas
KAO-QB00057,KAOSOFCARE  GP1,29117-02-0,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00324,LAVANDER 479,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
IFF-QB00251,LAVENDER MISTICA,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H336","P210, P280, P302 + P352, P304 + P340 + P312, P305 + P351 + P338",Master,X,,,,,,,,
ASH-QB00084,LIFTYL,Mezcla ,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00052,LOVE AND AFFECTION 2541,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, ",Master,X,,X,,,,,,
ASH-QB00074,LUBRAGEL MARINE,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00066,LUBRAGEL OIL FREE,Mezcla,ATENCION,1-800-274-5263,Provoca irritación ocular grave.,"Si se necesita consejo médica, tener a mano al envase o la etiqueta. Mantener fuera del alcance de los niños. Leer la etiqueta antes del uso. PREVENCIÓN: Lavarse la piel concienzudamente tras la manipulación. Llevar equipo de protección para los ojos/ la cara. INTERVENCIÓN: En caso de contacto con los ojos: Enjuagar con agua cuidadosamente durante varios minutos. Quitar las lentes de contacto cuando estén presentes y pueda hacerse con facilidad. Proseguir con el lavado. Si persiste la irritación ocular. Consultar a un médico.",Master,X,,,,,,,,
ASH-QB00022,LUBRAJEL 0IL S/P,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00080,LUBRAJEL DV,Mezcla ,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00067,LUBRAJEL NP,Mezcla,ATENCION,1-800-274-5263,H319,"P101, P102, P103, P264, P280, P305 + P351 + P338",Master,X,,,,,,,,
IFF-QB00202,LUXEL 149 MOD 20,Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, P501, P362 + P364",Master,X,,X,,,,,,
IFF-QB00056,MAGIC DELIGHT 759,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,,,,,
IFF-QB00036,MANGOSTEEN MELODY,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,,,,,
LUB-QB00043,MATRIFUSSE s/p,Mezcla,No aplicable,01 800 002 1400,No Aplicable,No aplicable,Master,,,,,,,,,
IFF-QB00254,MAX FLOWER 77 S/P,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
IFF-QB00209,MAX FRESCURA 777,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H317, H318, H361, H371","P210, P260, P280, P301 + P310, P302 + P352, P305 + P351 + P338 + P310,  P308 + P311, P308 + P313, P331, P333 + P313, P370 + P378",Master,X,X,X,,,,,,
VAR-QB00112,MENTA DE BRASIL S/P,68917-18-0,ATENCION,01 800 002 1400,"H227, H303, H315, H317, H411","P210, P261, P273, P280, P302+P352+P333+P313, P312, P370+P378, P391 ",Master,X,,,,,X,,,
LUB-QB00045,MERQUAT 550PR (POLIQUATERNIUM 7),Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00115,MIT QB (CONSERVADOR LIBRE DE FORMOL) S/P,MEZCLA,PELIGRO,01 800 002 1400,"H314, H317, H410","P273, P280, P303 + P361 + P353, P305 + P351 + P338, P333 + P313, P391",Master,X,X,,,,X,,,
ASH-QB00029,NATRIANCE BRIGHTENER S/P,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00030,NATRIANCE SELF HYDRATE,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00031,NATRIANCE WRINKLE LESS,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00026,N-DURHANCE A1000,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00119,NF-1000 QB,127087-87-0 / 9016-45-9,PELIGRO,01 800 002 1400,"H302 + H312, H318, H411","P264, P270, P273, P280, P301+P312, P302 + P352, P305 + P351 + P338, P301 + P330 + P331, P332 + P313, P337 + P313, P362 + P364, P391, P501",Master,X,X,,,,X,,,
ASH-QB00056,N-HANCE CCG 45,Mezcla,ATENCION,1-800-274-5263,H319,"P264, P280, P305 + P351 + P338",Master,X,,,,,,,,
ASH-QB00062,N-HANCE HP40,Mezcla,ATENCION,1-800-274-5263,Puede formar concentraciones de polvo combustible en el aire.,Puede formarse una mezcla de polvo y aire explosiva si se dispersa,Master,,,,,,,,,
ASH-QB00028,N-HANCE SP100, Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
LUB-QB00048,NOVERITE 100,Mezcla,ATENCION,01 800 002 1400,"H316, H317, H412","P261, P272, P273, P280",Master,X,,,,,X,,,
LUB-QB00050,NOVETHIX HC200,No Aplicable,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00125,OCTOPIROX S/P,68890-66-4,PELIGRO,01 800 002 1400,"H315, H318","P264, P280, P210, P233, P243, P302+P352, P305+P351+P338+P310",Master,,X,,,,,,,
ASH-QB00033,OPACIFICANTE A-430 (ANTARA 430 POLYMER),Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00034,OPTIPHEN,Mezcla,ATENCION,1-800-274-5263,"H303, H317, H319","P101, P102, P103, P261, P264, P272, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P362 + P364, P501",Master,X,,,,,,,,
ASH-QB00053,OPTIPHEN BSB-W,Mezcla,ATENCION,1-800-274-5263,"H303, H317, H319","P101, P102, P103, P261, P264, P272, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P362 + P364, P501",Master,X,,,,,,,,
ASH-QB00036,P.V.P.K 30,9003-39-8,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00309,PALOMA BLANCA 98,Mezcla,ATENCION,01 800 002 1400,"H227, H304, H315, H317, H319, H361","P210, P280, P301 + P310, P302+ P352, P305 + P351 + P338,  P331",Master,X,,X,,,,,,
IFF-QB00156,PAMPERING TOUCH 927,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,,,,,,,
IFF-QB00259,PASION FLORAL 821,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H351, H361","P280,  P302 + P352,  P305 + P351 + P338 ",Master,X,,X,,,,,,
ASH-QB00082,PERFECTYL,Mezcla ,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00127,PHANTENOL D,599-04-2,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00010,PICCOLO 727,Mezcla,ATENCION,01 800 002 1400,"H315,H317,H319,H351,H361.","P261, P280, P302 + P352, P305 + P351 + P338, P308 + 313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
IFF-QB00157,PINEAPPLE PARADISE,Mezcla,ATENCION,01 800 002 1400,"H227, H302, H317","P210, P280, P301 + P310, P302+ P352",Master,X,,,,,,,,
IFF-QB00105,PINK LADY 819,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317","P210, P261, P280, P302 + P352, P333 + P313, P370 + P378",Master,X,,,,,,,,
VAR-QB00177,PLANCHA FACIL MOD.1,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
KAO-QB00060,POIZ 535,Mezcla,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00191,POLYQUATERNIUM 10,81859-24-7,ATENCION,01 800 002 1400,H411,P273,Master,,,,,,X,,,
IFF-QB00231,POTPURRI FRUIT 755 S/P,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H351, H361","P210, P280, P302 + P352",Master,X,,X,,,,,,
VAR-QB00173,P-QUAT 37,Mezcla,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00231,PRECIOUS CARE 828,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,,,,,
ASH-QB00037,PROLIPID 151 S/P,Mezcla,ATENCION,1-800-274-5263,H319,"P264, P280, P305 + P351 + P338",Master,X,,,,,,,,
ASH-QB00038,PROTECTAGEN S/P,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00131,PULIMENTO S-N82 S/P,1020665- 14- 8,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00132,PULIMENTO S-N85 s/p,1020665-14-8,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00058,PURPLE MYSTERY,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378",Master,X,,X,,,,,,
ASH-QB00039,PVP K90 S/P,9003-39-8,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00040,PVP/VA S-630 S/P,25086-89-9,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
KAO-QB00063,QUARTAMIN 60 S/P (TOTE),Mezcla,PELIGRO,+34 93 739 9445," Provoca irritación cutánea.
Provoca lesiones oculares graves.
Muy tóxico para los organismos acuáticos, con efectos nocivos duraderos.","PREVENCION:  Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas anti_x0002_salpicaduras. Evitar su liberación al medio ambiente. Lavarse concienzudamente tras 
la manipulación. RESPUESTA: Recoger el vertido. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON LA PIEL: Lavar con abundante agua. En 
caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON 
LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un CENTRO DE INFORMACION TOXICOLOGICA o a un médico. ELIMINACION:  Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales,
nacionales e internacionales.",Master,,X,,,,X,,,
KAO-QB00065,QUARTAMIN AB,Mezcla,PELIGRO,+34 93 739 9445," Provoca irritación cutánea.
Provoca lesiones oculares graves.
Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal)
Muy tóxico para los organismos acuáticos.
Tóxico para los organismos acuáticos, con efectos nocivos duraderos","PREVENCION: Llevar guantes de protección: > 8 horas (tiempo de detección): caucho nitrílico. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Evitar su liberación al medio ambiente. No respirar el polvo. Lavarse concienzudamente tras la manipulación. RESPUESTA: Recoger el vertido.Consultar a un médico en caso de malestar. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON LA PIEL: Lavar con abundante agua. En caso de irritación cutánea: Consultar a un médico.EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando.Llamar inmediatamente a un CENTRO DE INFORMACION TOXICOLOGICA o a un médico. ELIMINACION: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Master,,X,X,,,X,,,
KAO-QB00066,QUARTAMIN B18,No Aplica,PELIGRO,+34 93 739 9445,"H226, H302, H312, H314, H318","PREVENCIÓN: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , máscara. Llevar prendas de protección: Recomendado: traje protector resistente a los químicos.Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación,de iluminación y todos los equipos de manipulación de materiales antideflagrantes.Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Llamar a un centro de información toxicológica o a un médico en caso de malestar. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar cerrado. Almacenar en un lugar ventilado. Mantener en un lugar fresco. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Master,X,X,,,X,,,,
KAO-QB00067,QUARTAMIN D081 S/P,Mezcla,PELIGRO,+34 93 739 9445,"H226, H302, H312, H314, H318, H400","PREVENCIÓN: Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , máscara. Llevar prendas de protección: Recomendado: traje protector resistente a los químicos.Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación,de iluminación y todos los equipos de manipulación de materiales antideflagrantes.Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. RESPUESTA: EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Llamar a un centro de información toxicológica o a un médico en caso de malestar. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ALMACENAMIENTO: Guardar cerrado. Almacenar en un lugar ventilado. Mantener en un lugar fresco. ELIMINACIÓN: Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Master,X,X,,,X,X,,,
IFF-QB00158,QUIM 1300 PASION FRUIT,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H361","P210, P261, P280, P302 + P352, P308 + P313, P333 + P313, P370 + P378 ",Master,X,,X,,,,,,
IFF-QB00261,QUIM BLUE 629,Mezcla,ATENCION,01 800 002 1400,"H227, H303, H315, H317, H319, H361, H411","P201,P202,P261,P264,P272,P273,P280,P302,P305+P351+P338, P308+P3013, P333+P303, P337 + P313, P362 + P364, P391, P405, P501",Master,X,,X,,,X,,,
IFF-QB00262,QUIM HIDRA 759,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
IFF-QB00263,QUIM SH MOD,Mezcla,PELIGRO,01 800 002 1400,"H227, H303, H304, H315, H317, H319, H361, H400, H361","P201, P202, P210, P261, P264, ,, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P312, P331, P333 + P313, P337 + P313, , P370 + P378, P391, P403 + P235, P405, P501",Master,g,1,h,1,,,,,
ASH-QB00041,RAPITIX A-100 S/P,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00133,REPELENTE PARA INSECTOS,52304-36-6,ATENCION,01 800 002 1400,H319,P305 + P351 + P338,Master,X,,,,,,,,
VAR-QB00192,RESINA SUPER STYLE 30H,25035-69-2,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00264,REVIVAL 006 A NATTURA,MEZCLA,ATENCION,01 800 002 1400,"H227, H303, H315, H317, H319, H361","P210, P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313,  P333 + P313, P337 + P313 , P370 + P378",Master,x,,x,,,,,,
IFF-QB00321,RIVOLI 912 M2,Mezcla,ATENCION,01 800 002 1400,"H317, H319, H351, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
ASH-QB00079,ROSALISS,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00106,SANDALWOOD 019,Mezcla,ATENCION,01 800 002 1400,"H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313",Master,X,,X,,,,,,
LUB-QB00058,SCHERCEMOL 318 S/P,68171-33-5,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
LUB-QB00060,SCHERCEMOL IDO,59231-34-4,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00032,SEA FRESH 820 MARINE 667-W,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H361","P210, P261, P280, P302 + P352,  P305 + P351 + P338, P308 + P313, P333 + P313, P370 + P378",Master,X,,X,,,,,,
IFF-QB00163,SENSE OF NATURE,Mezcla,ATENCION,01 800 002 1400,"H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313,  P333 + P313, P337 + P313",Master,X,,X,,,,,,
ASH-QB00075,SENSIDIN PURE,Mezcla,ATENCION,1-800-274-5263,"H303, H317, H319","P101, P102, P103, P264, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P362 + P364",Master,X,,,,,,,,
ASH-QB00068,SENSIVA SC 83,Mezcla,ATENCION,1-800-274-5263,H319,"P264, P280, P305 + P351 + P338",Master,X,,,,,,,,
LUB-QB00064,SENSOMER 10M POLYQUATERNIUM 10,No Aplicable,ATENCION,01 800 002 1400,"H315, H319","P264, P280, P305 + P351 + P338, P337+P313, P302+P352, P332+P313, P321, P362",Master,X,,,,,,,,
IFF-QB00107,SENSUAL BREEZE 873,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
IFF-QB00033,SER 1002 PINO,Mezcla,PELIGRO,01 800 002 1400,"H226, H304, H315, H317, H319, H361","P210, P261, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P308 + P313, P331, P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,X,,,,
IFF-QB00302,SER 1011 LAVANDA,Mezcla,-,-,-,-,Master,1,1,1,1,,,,,
IFF-QB00164,SER 1013 (SHAMPOO FLORAL FRUTAL),Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315, H317, H319, H361","P210, P261, P280, P301 + P310, P302 + P352,  P305 + P351 + P338, P308 + P313, P331,  P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,,,,,
IFF-QB00269,SER 1050 NSUENO,Mezcla,ATENCION,01 800 002 1400,"H227, H303, H315, H317, H319, H361, H411","P201, P202, P210, P261, P264, ,, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P312, P331, P333 + P313, P337 + P313, , P370 + P378, P391, P403 + P235, P405, P501",Master,X,,X,,,X,,,
IFF-QB00214,SER 1054 DETERG. LIQ.,Mezcla,PELIGRO,01 800 002 1400,"H227, H315, H317, H318, H411","P210, P261, P264, P280, P302 + P352, P305 + P354 + P338 + P317, P333 + P317, P370 + P378, P391",Master,X,X,,,,X,,,
IFF-QB00190,SMT 1047 MOD (KENZO FLOWER),Mezcla,ATENCION,01 800 002 1400,"H317, H361","P261, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364",Master,X,,X,,,,,,
IFF-QB00034,SO FRESH,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H351, H361, H373","P210, P260, P280, P302 + P352, P305 + P351 + P338, P314",Master,X,,X,,,,,,
IFF-QB00272,SOFT BLUE M 68,-,-,-,-,-,Master,1,1,1,1,,,,,
IFF-QB00199,SOFTENER ELEGANT 957 MOD,Mezcla,ATENCION,01 800 002 1400," H315, H317, H319, H361","P261, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313,  P337 + P313",Master,X,,X,,,,,,
VAR-QB00166,SORBATO DE POTASIO S/P,24634-61-5,ATENCION,01 800 002 1400,H319,"P264, P280, P305+P351+P338, P337+P313",Master,X,,,,,,,,
ASH-QB00044,SOREZ H5205,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00193,SOY TU HOMBRE 070,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H361","P210, P261, P280, P302 + P352,  P308 + P313,  P333 + P313, P370 + P378",Master,X,,X,,,,,,
IFF-QB00108,SPICY AMBER 973,Mezcla,ATENCION,01 800 002 1400,"H317, H319","P261, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313",Master,X,,,,,,,,
IFF-QB00109,SPICY LOVE 456,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H411","P210, P261, P264, P272, P273, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P370 + P378, P391, P403 + P235, P501",Master,X,,,,,X,,,
IFF-QB00194,SPORTIVO 971,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, H361","P210, P280, P302 + P352, P305 + P351 + P338",Master,X,,X,,,,,,
ASH-QB00063,STYLEZE CC-10,Mezcla ,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00086,STYLEZE ES-FORZA,Mezcla,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00073,STYLIZE W-17,Mezcla ,No Aplicable,1-800-274-5263,No Aplicable,No Aplicable,Master,,,,,,,,,
IFF-QB00276,SUAVIAZUL M 75,Mezcla,ATENCION,01 800 002 1400,"H227, H303, H315, H317, H319, H361, H411","P201, P202, P210, P261, P264, P272, P273, P302 + P352, P305 + P351 + P338, P312, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",Master,X,,X,,,X,,,
LUB-QB00069,SULFOCHEM TD3 S/P,Mezcla,ATENCION,01 800 002 1400,"H315, H319","P264, P280, P305 + P351 + P338, P337 + P313, P302 + P352, P332 + P313, P321, P362",Master,X,X,,,,,,,
IFF-QB00070,SUNSENSATION,Mezcla,ATENCION,01 800 002 1400,"H227, H315, H317, H319, , H351, H361","P210, P261, P280, P302 + P352,P305 + P351 + P338, P308 + P313,  P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,,,,,
VAR-QB00137,SUPERHUMECTANTE S/P,308073-86-8 ,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
ASH-QB00047,SURFADONE LP100,2687-94-7,PELIGRO,1-800-274-5263,"H303 + P313, P314","P264, P280, P301 + P330 + P331, P303 + P361 + P353, P304 + P340 + P310, P305 + P351 + P338 + P310, P312, P363, P405, P501",Master,,X,,,,,,,
VAR-QB00138,SURFAGEL ES QB,9005-08-7,ATENCION,01 800 002 1400,"H303 + H333, H317, H320","P264, P273, P280, P303 + P361 + P353, P305 + P351 + P338, P314, P403 + P233",Master,X,,,,,,,,
ASH-QB00048,SUTTOCIDE-A,Mezcla,PELIGRO,1-800-274-5263,"H302, H3013 + H333, H315, H317, H319, H335, H341, H350","P101, P202, P261, P264, P270, P271, P272, P280, P301 + P312 + P330, P302 + P352, P304 + P340 + P312,  P305 + P351 + P338, P312, P333 + P313, P362 + P364, P403 + P233, P405, P501",Master,X,,X,,,,,,
IFF-QB00115,SWEET POWDER 361,Mezcla,PELIGRO,01 800 002 1400,"H226, H304, H315, H317, H319, H411","P210, P233, P240, P241, P242, P243, P261, P264, ,, P280, P301 + P310, P303 + P361 + P353, P305 + P351 + P338, P331, P333 + P313, P337 + P313, , P370 + P378, P391, P403 + P235, P405, P501",Master,X,,X,,X,X,,,
IFF-QB00116,TE VERDE MENTA SMT 1039,Mezcla,ATENCION,01 800 002 1400,"H227, H317, H319, H361","P210, P261, P280, P302+P352, P305 + P531 + P338, P308 + P313, P333 + P313, P337 + P313, P370 + P378",Master,X,,X,,,,,,
KAO-QB00070,TETRANYL AT7590 s/p,Mezcla,ATENCION,+34 93 739 9445,"Líquidos y vapores inflamables. Nocivo para los organismos acuáticos, con efectos nocivos duraderos.","P280, P210, P241, P242, P243, P233, P273, P303 + P361 + P353, P403 + P235, P501",Master,,,,,X,,,,
KAO-QB00076,TETRANYL BC80E S/P,MEZCLA,PELIGRO,+34 93 739 9445,"H226, H302, H312, H314, H318","P280, P210, P241, P242, P243, P233, P270, P264, P304 + P340, P310, P301 + P310, P330, P331, P303 + P361 + P353, P310, P363, P302 + P312, P352, P305 + P351 + P338, P405, P403 + P235, P501",Master,X,X,,,X,,,,
KAO-QB00078,TETRANYL BC-80T,"61789-71-7, 64-17-5",PELIGRO,+34 93 739 9445,"H226, H302 + H312, H314","P280, P210, P270, P264, P304 + P340, P310, P301 + P310, P330, P331, P303 + P361 + P353, P363, P305 + P351 + P338, P405, P501",Master,X,X,,,X,,,,
